,summary,title,category
112,"Volunteers are needed in Forest Park, Queens, to assist with a Fall 5K Run.",Queens-Volunteer at Fall 5K Run,
113,"The secretary will be responsible for taking meeting minutes, filing and managing correspondences among board members, staff and volunteers.",Board Secretary,Strengthening Communities
114,"Volunteers are needed Fridays, Saturdays, and Sundays. They would help open the site, greet visitors, explain the exhibition and help with our special events.",Volunteers at Governor's Island ,Strengthening Communities
115,"Ideal volunteer should want to work to prevent domestic, interpersonal and family violence and willing to raise money to make this happen.",Development/Fundraising Assistance,Strengthening Communities
116,Big Apple Greeter is looking for a volunteer to handle the writing and production of quarterly online newsletter.,Newsletter Writer/Editor,Strengthening Communities
117,Help with a forest restoration project along the Old Croton Aqueduct Trail of Van Cortlandt Park,Croton Trail Volunteer Day,Strengthening Communities
118,This is an opportunity to help SCOPE serve children in need in our community.  Volunteers will be provided with dinner and will be invited to enjoy a portion of the program. This is a chance to share your passion for helping the community and interact with supporters who are committed to our cause.,Special Event Volunteers,Strengthening Communities
119,"Volunteers are needed for a Back to School event in Little Bay Park, Queens, in the following areas:singers, clowns, magicians, arts and crafts.","Back to School event in Little Bay Park, Queens",Strengthening Communities
120,"Volunteers are needed to assist with FPCJ Summer Worship Arts Camp which will take place from Monday, August 8th-Friday, August 12th from 9 AM-12 PM.",FPCJ Summer Worship Arts Camp,Strengthening Communities
121,"Earth Celebrations 3rd Annual Hudson River Pageant, 2011  Join us to create river species puppets and costumes! Volunteer to participate in our Puppet & Costume Workshops to create the spectacular puppet and costumes for the parade, inspired by the native species and habitats of the Hudson River.",Ecological Art: Costume & Puppet Design ,Environment
122,The New York Legal Assistance Group is in need of a volunteer to assist with its Connect to Care/Foreclosure Defense Project.,Volunteer-Foreclosure Prevention Project at NYLAG,Helping Neighbors in Need
123,"The Family Center is currently seeking a volunteer graphic designer to donate their skills, time, and resources to help increase our awareness in the community mainly by creating digital and print invitations for a variety of events throughout the year.",Graphic Designer,Strengthening Communities
124,"• Preparing press releases and updates to our website. •Working on the new “Greeter for a Day” program, in which CEOs and other top executives have the opportunity to be a Greeter in a neighborhood of their choice. •Updating press log and maintaining clip file.",Communications & Public Relations Manager,Strengthening Communities
125,"A logo provides a visual identity that conveys an organization's values, mission, and brand. Visual branding provides a set of guidelines, fonts, and colors, which support an organization's logo and visual identity.",Logo Design for Professionals,Strengthening Communities
126,"The Web Editor will be responsible for managing all aspects of the site’s content, which entails a conceptual and detailed plan of new content.",Web Editor,Strengthening Communities
127,Big Apple Greeter’s Director of Development seeks a part-time Volunteer Grant Writer. The ideal candidate will have a several years of grant-writing experience.,Grant Writer,Strengthening Communities
128,"ClassWish is a nonprofit organization that empowers parents, educators, and local communities to make a positive change in their children's lives by providing them with the supplies they need to learn, grow and excel.",Fall Internship  for High Schools Students at ClassWish.org,Education
129,The focus of this project is to help an organization develop an actionable strategy and a clear road map for improving and expanding its membership program.,Membership Development Strategy for Professionals,
130,"Career Gear collects men's business clothing, and provides career counseling and mock interviews for clients, who are looking to enter or re-enter the workforce.",Career Gear,Helping Neighbors in Need
131,"Afro-Asian, Inc. is a New York City based non-profit organization that aims to promote the city’s rich multi- cultural heritage through music by supporting the development of local musicians and to expand access to music education to youth.",Web Designer Intern for Non-Profit Site,Strengthening Communities
132,Work in a classroom to help lead low-income secondary students develop plans to enact change within their communities.,College Mentor,Education
133,"NYAWC is seeking a volunteer to ensure our office is running at an optimal level. In order to do that, we need a volunteer to help with the following:",Operations and Welcome Desk Volunteer,
134,"Join the Governors Island Alliance on Saturday, May 28th for our seventh annual Family Festival in Nolan Park on Governors Island. Volunteers are needed to help set up and run activities for children ranging from theater games to arts and crafts projects. Please go to Bit.ly/GIAVolunteer to sign up!",Governor's Island Family Festival,Strengthening Communities
135,Share What YOU Know and Love: Become a Citizen Teacher!,Calling all Citizens: Improve Student Achievement in NYC by Teaching your Passion!,Education
136,Need yoga instructor for adolescents in the inpatient psychiatry unit at Bellevue Hospital.,Yoga Instructor,Health
137,Knitting Project,Blankets of Love,Strengthening Communities
138,This volunteer opportunity is great for people who are interested in volunteering in a university environment with graduate and undergraduate college students.,Be a Proctor for Students Taking Exams - 55+ Only,Education
139,"The WorldofMoney.org has a five year of a proven track record of delivering empowering financial and business education to underserved youth, ages 12 - 18.",Qualified Board Member Seats Available,Strengthening Communities
140,NYC Parks and Recreation seeks your participation to enrich our recreation facilities!   Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Al Oerter Recreation Center. Volunteer opportunities are available for a variety of classes and activities...,Queens:Yoga Fitness Instructor for Shape Up New York at Al Oerter !,Health
141,Figure Skating in Harlem is a pioneering non-profit organization that provides girls ages 6-18 with vital educational and skating opportunities that build self-worth and promote physical well being and academic achievement.  Your work will benefit girls from a low-income community.,Figure Skating in Harlem Volunteer Tutor,Education
142,"You will ride one of the various routes (15, 30, 45, 62, 100 miles)  to see order is maintained, any emergencies be addressed, and any questions that the riders may have be answered.",Route Marshall,Strengthening Communities
143,Please join us and the PAL kids for ice skating at Riverbank Park. It's a great way to enjoy the final days of winter and for a very good cause! Volunteers are kindly asked to pay for their expenses on the day. Admission to rink and skate rental are $5.00 and $6.00 respectively.,Ice Skating - Police Athletic League,Strengthening Communities
144,Join us for a painting project at MS131 in Chinatown on September 10th 2011. As part of our day of service in remembrance of 9/11.,MS131 Painting Project,Education
145,"Join the Department of Parks and Recreation at Far Rockaway Beach on July 24th for a Sand Castle Contest.  Time commitment will include morning and afternoon hours.  Volunteers needed for crafts, face painting, refreshment distribution and contest judging.",Volunteer at Queens Sand Castle Contest,Strengthening Communities
146,"A day of fun and games, giveways for the entire community.",Mt. Zion Kidz Fair,Strengthening Communities
147,"ARTs East New York Inc. is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Interns should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Marketing/PR Volunteer,Strengthening Communities
148,"We are currently accepting applications for FALL 2011  Volunteers are needed weekdays to assist in our pharmacy with packaging, labeling, delivering medications and also to perform minor filing and other clerical work .",Pharmacy Assistant,Helping Neighbors in Need
149,El Museo del Barrio needs your help for a wide array of volunteer tasks!,Volunteer with El Museo del Barrio,Strengthening Communities
150,Part of the Solution (POTS) Legal Clinic (www.potsbronx.org) serves low-income residents of the Bronx.,Bronx Non-Profit Legal Service Provider Seeks Interns,Helping Neighbors in Need
151,The Police Athletic League of New York City seeks skilled volunteers to provide vocational training for teens and young adults.,Professional Development Trainers,Helping Neighbors in Need
152,"Market analysis helps an organization understand the attractiveness of a market, its evolving opportunities, and threats in the external market as they relate to an organization's internal strengths and weaknesses.",Market Analysis for Income-Generating Organizations for Professionals,Strengthening Communities
153,Assist staff by providing support in caring for babies.,Help Care for Babies at the Teen Family Center - 55+ Only,Helping Neighbors in Need
154,"Give the gift of confidence, freedom, independence, and a greener, healthier society to others through teaching them how to ride bicycles!",Teach Adults and Kids how to Ride Bikes!,Health
155,Looking for someone  to grow the impact of our programs by getting involved in all aspects of our fundraising operations with a focus on fundraising management and development.,Fundraising and Development Manager for Healthy Eating Programs,Strengthening Communities
156,"Help us spread Fibar mulch on paths in the park, to create a safe walking surface.  September 17, from 2pm - 5pm.",Park Volunteer Day,Environment
157,This would be a great way to gain hands-on experience in the nonprofit world! We are looking for help in developing our nonprofit organization in the following ways: 1)Grant-Writing 2)Research/Program Evaluation 3) Fundraising/Event Planning  4) Website Development  5) Business Plan/Proposal writers,Grant Writing/Fundraising/Event Planning Intern,
158,"The program seeks to match young adults, age 18 to 24 who have aged out of the foster care system, with professional mentors.",Be a Mentor and Make That Extraordinary Difference - 55+ Only,Education
159,"Become a teaching assistant for the day by helping an LP teaching artist run an outdoor art workshop at a New York City laundromat. Other opportunities available, too!  Most workshops are held at a Harlem laundromat, but we recruit volunteers for events in other locations, as needed.",Art Workshop Assistant - make art in laundromats!,Strengthening Communities
160,Helping those to help themselves,Employment Mentoring ,Helping Neighbors in Need
161,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Help New Yorkers Affected by the Storm in Queens ,Helping Neighbors in Need
162,Lenox Hill Neighborhood House is the oldest and largest social and educational services organization on Manhattan's Upper East Side.,English as a Second Language Instructor,Helping Neighbors in Need
163,Don’t need to have a green thumb but it doesn't hurt. We need muscle power to help maintain several raised beds filled with vegetables and flowers.,Dirty Hands Wanted!,Environment
164,"Lead/facilitate board and electronic games ( cards, checkers etc, Wii...)",Therapeutic Recreation Aid/Activities,
165,We are looking for help with the successful re-launch of our brand with an effective roll out strategy and marketing plan.,Branding and Marketing Project,Strengthening Communities
166,We are looking for a social-media and web-savvy intern/volunteer to help us launch and administer an online story contest to help build our brand awareness and get more potential volunteers and donors engaged with our cause.,Online / Social Media Marketing Intern/Volunteer,Strengthening Communities
167,"The Chapter Ambassadors will promote Society events, programs and outreach events as program support and as a Society representative at various events and programs directly benefiting people living with MS.",Be a Chapter Ambassador!,Health
168,icouldbe.org is an award-winning online mentoring program connecting middle and high school students from diverse communities with mentors from across the country.,E-Mentor ,Education
169,"World Cares Center is looking for individuals to help us with branding initiatives and producing print materials (pamphlets, brochures, etc.)for marketing our programs and initiatives.",Marketing & Advertising Volunteer,Strengthening Communities
170,"From accounting to fundraising to marketing to strategy, Catchafire makes it easy for every professional to use their skills for good.",Pro Bono Opportunities for Business Professionals,Strengthening Communities
171,"Volunteer interested in a administrative and hospital setting.  Will have the ability to perform data entry, answer telephone calls and take messages, file documents.",Clerical Assistant,
172,"Provide daily guidance to campers, lead camp activities, assist other counselors, actively participate with campers, plan and direct a portion of daily activities, maintain attendance records and other required paper work. Assume responsibility for safety and discipline of campers.",Senior Counselor   ,Strengthening Communities
173,We are having a conference/celebration later this year and are looking for volunteers with fundraising experience to help us.,Single Mothers by Choice (SMC),Strengthening Communities
